num ; coinc ; date ; time ; sec ; RecTime ; A ; B ; C ; COINC ; Pressure ; Temp ; Humidity ; Altitude 
147; A-C; 8/9/2022; 16:24:1; 87607; 600; 5434; 107504; 4638; 955; 1009.92; 23.85; 42.62; 27.76
148; A-C; 8/9/2022; 16:34:2; 88207; 600; 5005; 107477; 4614; 938; 1009.71; 23.92; 42.28; 29.51
149; A-C; 8/9/2022; 16:44:2; 88807; 600; 5210; 106789; 4554; 964; 1009.71; 23.92; 42.28; 29.51
150; A-C; 8/9/2022; 16:54:2; 89407; 600; 5189; 107189; 4650; 965; 1009.55; 23.97; 42.20; 30.89
151; A-C; 8/9/2022; 17:4:1; 90007; 600; 5155; 107207; 4624; 964; 1009.55; 23.97; 42.20; 30.89
152; A-C; 8/9/2022; 17:14:1; 90607; 600; 5225; 107285; 4602; 994; 1009.41; 24.01; 42.05; 32.05
153; A-C; 8/9/2022; 17:24:1; 91207; 600; 5107; 106674; 4532; 885; 1009.41; 24.01; 42.05; 32.05
154; A-C; 8/9/2022; 17:34:2; 91807; 600; 5142; 106455; 4453; 886; 1009.63; 24.03; 42.01; 30.18
155; A-C; 8/9/2022; 17:44:2; 92407; 600; 5226; 106598; 4607; 908; 1009.48; 24.04; 41.74; 31.39
156; A-C; 8/9/2022; 17:54:2; 93007; 600; 5111; 106403; 4612; 938; 1009.48; 24.04; 41.74; 31.39
157; A-C; 8/9/2022; 18:4:1; 93607; 600; 5034; 105828; 4459; 871; 1009.35; 24.06; 41.37; 32.54
158; A-C; 8/9/2022; 18:14:1; 94207; 600; 5135; 105943; 4658; 958; 1009.35; 24.06; 41.37; 32.54
159; A-C; 8/9/2022; 18:24:2; 94807; 600; 5022; 105682; 4545; 977; 1009.22; 24.07; 41.20; 33.65
160; A-C; 8/9/2022; 18:34:2; 95407; 600; 5071; 105835; 4570; 911; 1009.17; 24.09; 40.96; 34.03
161; A-C; 8/9/2022; 18:44:2; 96007; 600; 5009; 106480; 4590; 846; 1009.17; 24.09; 40.96; 34.03
162; A-C; 8/9/2022; 18:54:2; 96608; 600; 5162; 106177; 4581; 957; 1008.94; 24.09; 40.87; 35.97
163; A-C; 8/9/2022; 19:4:2; 97208; 600; 5050; 106126; 4490; 935; 1008.94; 24.09; 40.87; 35.97
164; A-C; 8/9/2022; 19:14:3; 97808; 600; 5026; 106033; 4666; 958; 1008.89; 24.09; 40.97; 36.39
165; A-C; 8/9/2022; 19:24:3; 98408; 600; 5117; 105999; 4543; 925; 1008.98; 24.11; 41.08; 35.59
166; A-C; 8/9/2022; 19:34:3; 99008; 600; 5166; 106077; 4539; 968; 1008.98; 24.11; 41.08; 35.59
167; A-C; 8/9/2022; 19:44:3; 99608; 600; 5002; 105918; 4553; 918; 1009.07; 24.11; 41.25; 34.85
168; A-C; 8/9/2022; 19:54:2; 100208; 600; 4971; 105916; 4671; 964; 1009.07; 24.11; 41.25; 34.85
169; A-C; 8/9/2022; 20:4:2; 100808; 600; 4987; 106204; 4599; 958; 1009.08; 24.10; 41.23; 34.77
170; A-C; 8/9/2022; 20:14:3; 101408; 600; 5045; 105433; 4548; 926; 1009.16; 24.10; 41.21; 34.10
171; A-C; 8/9/2022; 20:24:3; 102008; 600; 5039; 105686; 4463; 931; 1009.16; 24.10; 41.21; 34.10
172; A-C; 8/9/2022; 20:34:3; 102608; 600; 5106; 105406; 4541; 925; 1009.47; 24.09; 41.92; 31.51
173; A-C; 8/9/2022; 20:44:3; 103209; 600; 5059; 105537; 4437; 890; 1009.47; 24.09; 41.92; 31.51
174; A-C; 8/9/2022; 20:54:4; 103809; 600; 4942; 105596; 4491; 914; 1009.56; 24.10; 42.75; 30.75
175; A-C; 8/9/2022; 21:4:4; 104409; 600; 5251; 105773; 4538; 928; 1009.62; 24.11; 43.40; 30.26
176; A-C; 8/9/2022; 21:14:4; 105009; 600; 5035; 105917; 4434; 934; 1009.62; 24.11; 43.40; 30.26
177; A-C; 8/9/2022; 21:24:4; 105609; 600; 5058; 105845; 4555; 976; 1009.59; 24.11; 44.13; 30.56
178; A-C; 8/9/2022; 21:34:4; 106209; 600; 5052; 105947; 4514; 877; 1009.59; 24.11; 44.13; 30.56
179; A-C; 8/9/2022; 21:44:3; 106809; 600; 5081; 105372; 4494; 933; 1009.44; 24.10; 44.83; 31.78
180; A-C; 8/9/2022; 21:54:4; 107409; 600; 5044; 106210; 4644; 932; 1009.44; 24.10; 44.83; 31.78
181; A-C; 8/9/2022; 22:4:4; 108009; 600; 5137; 105552; 4572; 966; 1009.05; 24.10; 45.23; 35.03
182; A-C; 8/9/2022; 22:14:4; 108609; 600; 5074; 105869; 4544; 932; 1008.77; 24.10; 45.43; 37.36
183; A-C; 8/9/2022; 22:24:4; 109209; 600; 5029; 106087; 4490; 912; 1008.77; 24.10; 45.43; 37.36
184; A-C; 8/9/2022; 22:34:4; 109809; 600; 4964; 105882; 4579; 964; 1008.33; 24.09; 45.65; 41.00
185; A-C; 8/9/2022; 22:44:3; 110409; 600; 5016; 105970; 4457; 922; 1008.33; 24.09; 45.65; 41.00
186; A-C; 8/9/2022; 22:54:4; 111009; 600; 4996; 106347; 4488; 909; 1008.13; 24.09; 45.74; 42.68
187; A-C; 8/9/2022; 23:4:4; 111609; 600; 5106; 105867; 4442; 907; 1007.79; 24.10; 45.88; 45.52
188; A-C; 8/9/2022; 23:14:4; 112209; 600; 4957; 105851; 4520; 883; 1007.79; 24.10; 45.88; 45.52
189; A-C; 8/9/2022; 23:24:4; 112809; 600; 5112; 106367; 4574; 931; 1007.61; 24.08; 46.00; 47.10
